[964690] ['1/7', '2/9', '5/6', '5/6', '7/2'] -> ((((5/6 + 5/6) - 1/7) / 2/9) * 7/2)
[964695] ['1/7', '2/9', '5/6', '5/6', '7/8'] -> (((5/6 + 5/6) / (2/9 - 1/7)) / 7/8)
[964699] ['1/7', '2/9', '5/6', '5/6', '8/7'] -> (((5/6 + 5/6) / (2/9 - 1/7)) * 8/7)
[964701] ['1/7', '2/9', '5/6', '5/6', '9/2'] -> ((9/2 / 1/7) - ((5/6 + 5/6) / 2/9))
[964721] ['1/7', '2/9', '5/6', '5/7', '8/9'] -> ((((5/7 / 1/7) / 2/9) / 5/6) * 8/9)
[964723] ['1/7', '2/9', '5/6', '5/7', '9/4'] -> (((5/6 + (5/7 / 1/7)) / 2/9) - 9/4)
[964726] ['1/7', '2/9', '5/6', '5/7', '9/8'] -> ((((5/7 / 1/7) / 2/9) / 5/6) / 9/8)
[964733] ['1/7', '2/9', '5/6', '5/8', '7/4'] -> ((((5/6 / 1/7) / 2/9) / 5/8) / 7/4)
[964755] ['1/7', '2/9', '5/6', '5/9', '7/8'] -> ((((5/9 / 1/7) / 2/9) / 5/6) / 7/8)
[964759] ['1/7', '2/9', '5/6', '5/9', '8/7'] -> ((((5/9 / 1/7) / 2/9) / 5/6) * 8/7)
[964775] ['1/7', '2/9', '5/6', '6/5', '8/3'] -> (8/3 / (1/7 * ((5/6 * 6/5) - 2/9)))
[964792] ['1/7', '2/9', '5/6', '6/7', '8/3'] -> (((5/6 * 6/7) / (2/9 - 1/7)) * 8/3)
[964793] ['1/7', '2/9', '5/6', '6/7', '8/5'] -> ((5/6 / (2/9 - (1/7 / 6/7))) * 8/5)
[964800] ['1/7', '2/9', '5/6', '6/7', '9/8'] -> (((1/7 / (6/7 - 5/6)) / 2/9) / 9/8)
[964801] ['1/7', '2/9', '5/6', '7/2', '7/2'] -> ((((7/2 - 5/6) / 1/7) / 2/9) / 7/2)
[964803] ['1/7', '2/9', '5/6', '7/2', '7/4'] -> ((((5/6 / 1/7) + 7/2) / 2/9) / 7/4)
[964809] ['1/7', '2/9', '5/6', '7/2', '8/5'] -> (8/5 / (1/7 - ((2/9 / 5/6) / 7/2)))
[964824] ['1/7', '2/9', '5/6', '7/3', '8/5'] -> (8/5 / ((1/7 * 7/3) - (2/9 / 5/6)))
[964834] ['1/7', '2/9', '5/6', '7/4', '7/6'] -> ((((5/6 / 1/7) / 2/9) + 7/4) / 7/6)
[964837] ['1/7', '2/9', '5/6', '7/4', '8/3'] -> (8/3 / (((5/6 / 7/4) - 1/7) - 2/9))
[964838] ['1/7', '2/9', '5/6', '7/4', '8/5'] -> ((((5/6 / 1/7) / 2/9) / 7/4) * 8/5)
[964840] ['1/7', '2/9', '5/6', '7/4', '8/9'] -> (8/9 / (1/7 - ((2/9 * 5/6) / 7/4)))
[964853] ['1/7', '2/9', '5/6', '7/5', '8/9'] -> (8/9 / (((1/7 * 2/9) * 5/6) * 7/5))
[964860] ['1/7', '2/9', '5/6', '7/6', '7/8'] -> ((((5/6 / 1/7) - 7/6) / 2/9) / 7/8)
[964862] ['1/7', '2/9', '5/6', '7/6', '8/3'] -> (((5/6 / (2/9 - 1/7)) / 7/6) * 8/3)
[964863] ['1/7', '2/9', '5/6', '7/6', '8/5'] -> ((5/6 / (2/9 - (1/7 * 7/6))) * 8/5)
[964864] ['1/7', '2/9', '5/6', '7/6', '8/7'] -> ((((5/6 / 1/7) - 7/6) / 2/9) * 8/7)
[964876] ['1/7', '2/9', '5/6', '7/8', '8/9'] -> (8/9 / (((2/9 * 5/6) - 1/7) * 7/8))
[964890] ['1/7', '2/9', '5/6', '7/9', '9/7'] -> (9/7 / (1/7 / ((7/9 / 2/9) - 5/6)))
[964892] ['1/7', '2/9', '5/6', '8/3', '8/3'] -> (8/3 / ((1/7 * 2/9) * (5/6 + 8/3)))
[964903] ['1/7', '2/9', '5/6', '8/5', '8/9'] -> (8/9 / (5/6 * (8/5 - (2/9 / 1/7))))
[964913] ['1/7', '2/9', '5/6', '8/7', '9/5'] -> ((((8/7 / 1/7) / 2/9) / 5/6) / 9/5)
[964915] ['1/7', '2/9', '5/6', '8/7', '9/8'] -> ((8/7 / ((2/9 * 5/6) - 1/7)) / 9/8)
[964923] ['1/7', '2/9', '5/6', '9/2', '9/4'] -> ((((5/6 / 1/7) / 2/9) - 9/2) + 9/4)
[964936] ['1/7', '2/9', '5/6', '9/8', '9/8'] -> ((((5/6 / 1/7) / 2/9) - 9/8) - 9/8)
[964942] ['1/7', '2/9', '5/7', '5/7', '7/2'] -> ((((5/7 / 2/9) + 5/7) / 1/7) - 7/2)
[964963] ['1/7', '2/9', '5/7', '5/8', '7/3'] -> (7/3 / (2/9 - ((1/7 * 5/8) / 5/7)))
[964969] ['1/7', '2/9', '5/7', '5/8', '8/3'] -> (8/3 / (((2/9 * 5/7) / 5/8) - 1/7))
[964979] ['1/7', '2/9', '5/7', '5/9', '6/5'] -> ((((5/7 / 1/7) - 5/9) / 2/9) * 6/5)
[964988] ['1/7', '2/9', '5/7', '5/9', '8/3'] -> (8/3 / (2/9 - ((1/7 * 5/9) / 5/7)))
[964989] ['1/7', '2/9', '5/7', '5/9', '8/5'] -> (((5/7 / (5/9 - 2/9)) / 1/7) * 8/5)
[964992] ['1/7', '2/9', '5/7', '5/9', '9/2'] -> ((((5/7 / 1/7) + 5/9) - 2/9) * 9/2)
[965007] ['1/7', '2/9', '5/7', '6/5', '8/5'] -> (8/5 / ((2/9 * 6/5) - (1/7 / 5/7)))
[965009] ['1/7', '2/9', '5/7', '6/5', '8/9'] -> ((((5/7 * 6/5) / 1/7) / 2/9) * 8/9)
[965014] ['1/7', '2/9', '5/7', '6/5', '9/8'] -> ((((5/7 * 6/5) / 1/7) / 2/9) / 9/8)
[965015] ['1/7', '2/9', '5/7', '6/7', '6/7'] -> (6/7 / (((1/7 / 2/9) / 6/7) - 5/7))
[965024] ['1/7', '2/9', '5/7', '6/7', '8/5'] -> ((5/7 / ((2/9 * 6/7) - 1/7)) * 8/5)
[965034] ['1/7', '2/9', '5/7', '7/2', '7/4'] -> (((1/7 + (7/2 / 2/9)) / 5/7) + 7/4)
[965041] ['1/7', '2/9', '5/7', '7/2', '8/7'] -> (8/7 / (2/9 * (5/7 - (1/7 * 7/2))))
[965052] ['1/7', '2/9', '5/7', '7/3', '7/8'] -> (((5/7 * 7/3) / (2/9 - 1/7)) / 7/8)
[965055] ['1/7', '2/9', '5/7', '7/3', '8/5'] -> ((5/7 / (1/7 - (2/9 / 7/3))) * 8/5)
[965057] ['1/7', '2/9', '5/7', '7/3', '8/9'] -> (8/9 / (((2/9 * 5/7) - 1/7) * 7/3))
[965094] ['1/7', '2/9', '5/7', '7/6', '8/5'] -> ((5/7 / ((2/9 / 7/6) - 1/7)) * 8/5)
[965098] ['1/7', '2/9', '5/7', '7/6', '9/4'] -> ((((5/7 * 7/6) / 1/7) / 2/9) - 9/4)
[965104] ['1/7', '2/9', '5/7', '7/8', '8/3'] -> (8/3 / ((2/9 * (5/7 - 1/7)) * 7/8))
[965119] ['1/7', '2/9', '5/7', '7/9', '9/4'] -> ((2/9 + ((5/7 + 7/9) / 1/7)) * 9/4)
[965123] ['1/7', '2/9', '5/7', '8/3', '8/3'] -> (8/3 / ((5/7 - (1/7 * 8/3)) - 2/9))
[965125] ['1/7', '2/9', '5/7', '8/3', '8/7'] -> (((8/3 / (5/7 - 1/7)) / 2/9) * 8/7)
[965157] ['1/7', '2/9', '5/7', '9/2', '9/8'] -> ((((5/7 / 1/7) / 2/9) + 9/2) / 9/8)
[965179] ['1/7', '2/9', '5/8', '5/8', '8/3'] -> ((8/3 / 1/7) / ((5/8 / 5/8) - 2/9))
[965183] ['1/7', '2/9', '5/8', '5/8', '9/2'] -> (((5/8 / 1/7) - 5/8) + (9/2 / 2/9))
[965195] ['1/7', '2/9', '5/8', '5/9', '7/6'] -> ((((5/9 / 1/7) / 2/9) / 5/8) / 7/6)
[965205] ['1/7', '2/9', '5/8', '5/9', '9/7'] -> (9/7 / (2/9 - (1/7 * (5/8 + 5/9))))
[965239] ['1/7', '2/9', '5/8', '6/7', '9/5'] -> ((((6/7 / 1/7) / 2/9) / 5/8) / 9/5)
[965243] ['1/7', '2/9', '5/8', '7/2', '7/3'] -> (7/3 / ((1/7 * 7/2) - (5/8 - 2/9)))
[965280] ['1/7', '2/9', '5/8', '7/4', '8/7'] -> (8/7 / (2/9 * ((5/8 / 7/4) - 1/7)))
[965282] ['1/7', '2/9', '5/8', '7/4', '9/2'] -> (9/2 / ((2/9 * (5/8 - 1/7)) * 7/4))
[965291] ['1/7', '2/9', '5/8', '7/5', '8/3'] -> (8/3 / (((2/9 / 5/8) / 7/5) - 1/7))
[965316] ['1/7', '2/9', '5/8', '7/8', '8/7'] -> (8/7 / ((1/7 * 2/9) * (5/8 + 7/8)))
[965319] ['1/7', '2/9', '5/8', '7/8', '9/4'] -> (9/4 / ((2/9 * (5/8 - 1/7)) * 7/8))
[965331] ['1/7', '2/9', '5/8', '7/9', '9/7'] -> (9/7 / (1/7 * ((2/9 + 7/9) - 5/8)))
[965332] ['1/7', '2/9', '5/8', '7/9', '9/8'] -> ((5/8 + ((7/9 / 1/7) / 2/9)) - 9/8)
[965333] ['1/7', '2/9', '5/8', '8/3', '8/3'] -> (8/3 / ((5/8 * 8/3) - (2/9 / 1/7)))
[965336] ['1/7', '2/9', '5/8', '8/3', '8/9'] -> (((8/3 / (5/8 - 1/7)) / 2/9) - 8/9)
[965353] ['1/7', '2/9', '5/8', '8/7', '9/4'] -> (((8/7 / (5/8 - 1/7)) / 2/9) * 9/4)
[965366] ['1/7', '2/9', '5/8', '9/2', '9/7'] -> (9/7 / (1/7 * ((2/9 * 9/2) - 5/8)))
[965379] ['1/7', '2/9', '5/9', '5/9', '6/5'] -> ((((5/9 / 1/7) + 5/9) / 2/9) * 6/5)
[965388] ['1/7', '2/9', '5/9', '5/9', '8/3'] -> ((8/3 / 1/7) / ((5/9 / 5/9) - 2/9))
[965389] ['1/7', '2/9', '5/9', '5/9', '8/5'] -> ((((5/9 / 1/7) - 5/9) / 2/9) * 8/5)
[965404] ['1/7', '2/9', '5/9', '6/5', '7/8'] -> ((((5/9 * 6/5) / 1/7) / 2/9) / 7/8)
[965408] ['1/7', '2/9', '5/9', '6/5', '8/7'] -> ((((5/9 * 6/5) / 1/7) / 2/9) * 8/7)
[965434] ['1/7', '2/9', '5/9', '7/2', '7/4'] -> ((((5/9 / 2/9) + 7/2) / 1/7) / 7/4)
[965437] ['1/7', '2/9', '5/9', '7/2', '7/8'] -> ((((5/9 / 1/7) / 2/9) + 7/2) / 7/8)
[965439] ['1/7', '2/9', '5/9', '7/2', '8/3'] -> (8/3 / (5/9 - ((2/9 / 1/7) / 7/2)))
[965442] ['1/7', '2/9', '5/9', '7/2', '8/9'] -> (((5/9 / 2/9) + (7/2 / 1/7)) * 8/9)
[965447] ['1/7', '2/9', '5/9', '7/2', '9/8'] -> (((5/9 / 2/9) + (7/2 / 1/7)) / 9/8)
[965451] ['1/7', '2/9', '5/9', '7/3', '7/6'] -> ((((5/9 / 1/7) + 7/3) / 2/9) / 7/6)
[965452] ['1/7', '2/9', '5/9', '7/3', '7/8'] -> (((7/3 / (2/9 + 5/9)) / 1/7) / 7/8)
[965456] ['1/7', '2/9', '5/9', '7/3', '8/7'] -> (((7/3 / (2/9 + 5/9)) / 1/7) * 8/7)
[965457] ['1/7', '2/9', '5/9', '7/3', '8/9'] -> (8/9 / (2/9 - ((1/7 * 5/9) * 7/3)))
[965461] ['1/7', '2/9', '5/9', '7/3', '9/7'] -> (9/7 / (1/7 / ((5/9 + 7/3) - 2/9)))
[965481] ['1/7', '2/9', '5/9', '7/5', '8/3'] -> (8/3 / (2/9 - ((1/7 * 5/9) * 7/5)))
[965482] ['1/7', '2/9', '5/9', '7/5', '8/5'] -> (8/5 / ((1/7 * (5/9 - 2/9)) * 7/5))
[965496] ['1/7', '2/9', '5/9', '7/6', '8/9'] -> (8/9 / (1/7 - ((2/9 * 5/9) / 7/6)))
[965498] ['1/7', '2/9', '5/9', '7/6', '9/4'] -> (((5/9 / 2/9) + (7/6 / 1/7)) * 9/4)
[965516] ['1/7', '2/9', '5/9', '7/9', '8/7'] -> ((((5/9 / 1/7) + 7/9) / 2/9) * 8/7)
[965522] ['1/7', '2/9', '5/9', '7/9', '9/8'] -> (((5/9 + (7/9 / 1/7)) / 2/9) / 9/8)
[965551] ['1/7', '2/9', '5/9', '8/9', '9/7'] -> (9/7 / ((1/7 * (5/9 - 2/9)) / 8/9))
[965566] ['1/7', '2/9', '5/9', '9/7', '9/8'] -> (((9/7 / (5/9 - 2/9)) / 1/7) / 9/8)
[965577] ['1/7', '2/9', '6/5', '6/5', '8/3'] -> ((8/3 / 1/7) / ((6/5 / 6/5) - 2/9))
[965578] ['1/7', '2/9', '6/5', '6/5', '8/5'] -> (((6/5 + 6/5) / 1/7) + (8/5 / 2/9))
[965583] ['1/7', '2/9', '6/5', '6/5', '9/5'] -> ((((6/5 / 1/7) + 6/5) / 2/9) / 9/5)
[965594] ['1/7', '2/9', '6/5', '6/7', '8/3'] -> (((6/7 / (2/9 - 1/7)) / 6/5) * 8/3)
[965598] ['1/7', '2/9', '6/5', '6/7', '9/2'] -> (((6/5 * (6/7 - 2/9)) / 1/7) * 9/2)
[965611] ['1/7', '2/9', '6/5', '7/2', '8/5'] -> (8/5 / (1/7 - ((2/9 * 6/5) / 7/2)))
[965626] ['1/7', '2/9', '6/5', '7/3', '8/5'] -> (8/5 / ((1/7 * 7/3) - (2/9 * 6/5)))
[965640] ['1/7', '2/9', '6/5', '7/4', '8/5'] -> (8/5 / (((1/7 * 2/9) * 6/5) * 7/4))
[965642] ['1/7', '2/9', '6/5', '7/4', '8/9'] -> (8/9 / (1/7 - ((2/9 / 6/5) / 7/4)))
[965649] ['1/7', '2/9', '6/5', '7/5', '7/6'] -> ((((6/5 / 2/9) - 7/5) / 1/7) / 7/6)
[965653] ['1/7', '2/9', '6/5', '7/5', '8/5'] -> (8/5 / ((2/9 * 6/5) - (1/7 * 7/5)))
[965654] ['1/7', '2/9', '6/5', '7/5', '8/7'] -> (8/7 / (((2/9 * 6/5) / 7/5) - 1/7))
[965655] ['1/7', '2/9', '6/5', '7/5', '8/9'] -> ((((6/5 / 1/7) / 2/9) / 7/5) * 8/9)
[965660] ['1/7', '2/9', '6/5', '7/5', '9/8'] -> ((((6/5 / 1/7) / 2/9) / 7/5) / 9/8)
[965664] ['1/7', '2/9', '6/5', '7/6', '8/3'] -> (8/3 / (((2/9 - 1/7) * 6/5) * 7/6))
[965665] ['1/7', '2/9', '6/5', '7/6', '8/5'] -> (8/5 / (6/5 * (2/9 - (1/7 * 7/6))))
[965678] ['1/7', '2/9', '6/5', '7/8', '8/9'] -> (8/9 / (((2/9 / 6/5) - 1/7) * 7/8))
[965681] ['1/7', '2/9', '6/5', '7/8', '9/5'] -> ((((6/5 / 1/7) / 2/9) / 7/8) / 9/5)
[965705] ['1/7', '2/9', '6/5', '8/5', '8/9'] -> ((6/5 / (8/5 - (2/9 / 1/7))) * 8/9)
[965710] ['1/7', '2/9', '6/5', '8/5', '9/8'] -> ((6/5 / (8/5 - (2/9 / 1/7))) / 9/8)
[965712] ['1/7', '2/9', '6/5', '8/7', '8/9'] -> ((8/7 / ((2/9 / 6/5) - 1/7)) * 8/9)
[965715] ['1/7', '2/9', '6/5', '8/7', '9/5'] -> ((((6/5 * 8/7) / 1/7) / 2/9) / 9/5)
[965717] ['1/7', '2/9', '6/5', '8/7', '9/8'] -> ((8/7 / ((2/9 / 6/5) - 1/7)) / 9/8)
[965745] ['1/7', '2/9', '6/7', '6/7', '7/8'] -> ((((6/7 / 2/9) - 6/7) / 1/7) / 7/8)
[965746] ['1/7', '2/9', '6/7', '6/7', '7/9'] -> ((((6/7 / 1/7) + 6/7) / 2/9) * 7/9)
[965751] ['1/7', '2/9', '6/7', '6/7', '9/2'] -> (((2/9 + (6/7 / 1/7)) * 6/7) * 9/2)
[965752] ['1/7', '2/9', '6/7', '6/7', '9/4'] -> ((((6/7 + 6/7) / 1/7) / 2/9) / 9/4)
[965754] ['1/7', '2/9', '6/7', '6/7', '9/7'] -> ((((6/7 / 1/7) + 6/7) / 2/9) / 9/7)
[965764] ['1/7', '2/9', '6/7', '7/2', '8/5'] -> (((7/2 - (1/7 / 6/7)) / 2/9) * 8/5)
[965765] ['1/7', '2/9', '6/7', '7/2', '8/7'] -> (8/7 / (6/7 - (2/9 * (1/7 + 7/2))))
[965768] ['1/7', '2/9', '6/7', '7/2', '9/4'] -> (((6/7 / 1/7) + (7/2 / 2/9)) + 9/4)
[965772] ['1/7', '2/9', '6/7', '7/3', '7/3'] -> ((((1/7 + 7/3) / 2/9) - 6/7) * 7/3)
[965782] ['1/7', '2/9', '6/7', '7/3', '9/2'] -> (((6/7 - (2/9 / 7/3)) / 1/7) * 9/2)
[965791] ['1/7', '2/9', '6/7', '7/4', '7/9'] -> ((6/7 / ((1/7 * 7/4) - 2/9)) * 7/9)
[965794] ['1/7', '2/9', '6/7', '7/4', '8/7'] -> (8/7 / (((1/7 * 2/9) * 6/7) * 7/4))
[965799] ['1/7', '2/9', '6/7', '7/4', '9/7'] -> ((6/7 / ((1/7 * 7/4) - 2/9)) / 9/7)
[965815] ['1/7', '2/9', '6/7', '7/6', '7/8'] -> ((7/6 / (2/9 - (1/7 / 6/7))) / 7/8)
[965817] ['1/7', '2/9', '6/7', '7/6', '8/3'] -> (8/3 / (1/7 * ((6/7 * 7/6) - 2/9)))
[965820] ['1/7', '2/9', '6/7', '7/6', '8/9'] -> (8/9 / (2/9 * ((7/6 - 1/7) - 6/7)))
[965821] ['1/7', '2/9', '6/7', '7/6', '9/2'] -> (((2/9 + (6/7 / 1/7)) / 7/6) * 9/2)
[965827] ['1/7', '2/9', '6/7', '7/8', '7/9'] -> ((((6/7 / 1/7) / 2/9) / 7/8) * 7/9)
[965832] ['1/7', '2/9', '6/7', '7/8', '9/2'] -> (9/2 / ((6/7 - (1/7 / 2/9)) * 7/8))
[965835] ['1/7', '2/9', '6/7', '7/8', '9/7'] -> ((((6/7 / 1/7) / 2/9) / 7/8) / 9/7)
[965838] ['1/7', '2/9', '6/7', '7/9', '8/3'] -> (8/3 / (((1/7 * 2/9) + 6/7) - 7/9))
[965841] ['1/7', '2/9', '6/7', '7/9', '8/9'] -> (8/9 / (((2/9 * 6/7) - 1/7) * 7/9))
[965848] ['1/7', '2/9', '6/7', '8/3', '8/5'] -> ((((6/7 / 1/7) - 8/3) / 2/9) * 8/5)
[965852] ['1/7', '2/9', '6/7', '8/3', '9/4'] -> (((1/7 + (6/7 / 2/9)) * 8/3) * 9/4)
[965861] ['1/7', '2/9', '6/7', '8/5', '9/5'] -> ((((6/7 * 8/5) / 1/7) / 2/9) / 9/5)
[965866] ['1/7', '2/9', '6/7', '8/7', '9/2'] -> ((8/7 / (6/7 - (1/7 / 2/9))) * 9/2)
[965869] ['1/7', '2/9', '6/7', '8/7', '9/7'] -> ((((6/7 * 8/7) / 1/7) / 2/9) / 9/7)
[965873] ['1/7', '2/9', '6/7', '8/9', '9/4'] -> ((((6/7 + 8/9) - 2/9) / 1/7) * 9/4)
[965875] ['1/7', '2/9', '6/7', '8/9', '9/7'] -> (9/7 / (((2/9 * 6/7) - 1/7) / 8/9))
[965898] ['1/7', '2/9', '7/2', '7/2', '7/9'] -> ((((7/2 + 7/2) - 1/7) / 2/9) * 7/9)
[965902] ['1/7', '2/9', '7/2', '7/2', '8/9'] -> (((7/2 / 1/7) + 7/2) - (8/9 / 2/9))
[965906] ['1/7', '2/9', '7/2', '7/2', '9/7'] -> ((((7/2 + 7/2) - 1/7) / 2/9) / 9/7)
[965911] ['1/7', '2/9', '7/2', '7/3', '7/6'] -> (((7/2 + (2/9 / 7/3)) / 1/7) - 7/6)
[965912] ['1/7', '2/9', '7/2', '7/3', '7/8'] -> ((((7/3 / 1/7) / 2/9) / 7/2) / 7/8)
[965917] ['1/7', '2/9', '7/2', '7/3', '8/9'] -> (8/9 / ((1/7 * 2/9) * (7/2 - 7/3)))
[965925] ['1/7', '2/9', '7/2', '7/4', '7/6'] -> (((7/2 / 2/9) + (7/4 / 1/7)) / 7/6)
[965928] ['1/7', '2/9', '7/2', '7/4', '8/3'] -> (8/3 / ((1/7 * 7/2) - (2/9 * 7/4)))
[965931] ['1/7', '2/9', '7/2', '7/4', '8/9'] -> (((7/2 / 1/7) + (2/9 * 7/4)) - 8/9)
[965941] ['1/7', '2/9', '7/2', '7/5', '8/3'] -> (8/3 / ((1/7 - (2/9 / 7/2)) * 7/5))
[965942] ['1/7', '2/9', '7/2', '7/5', '8/5'] -> (8/5 / ((1/7 * 2/9) * (7/2 - 7/5)))
[965951] ['1/7', '2/9', '7/2', '7/6', '7/8'] -> ((((7/6 / 1/7) - 7/2) / 2/9) / 7/8)
[965954] ['1/7', '2/9', '7/2', '7/6', '8/5'] -> (((7/2 - (1/7 * 7/6)) / 2/9) * 8/5)
[965988] ['1/7', '2/9', '7/2', '8/3', '9/4'] -> ((((7/2 - 8/3) / 1/7) / 2/9) - 9/4)
[966009] ['1/7', '2/9', '7/2', '8/9', '9/4'] -> (((7/2 + (2/9 / 8/9)) / 1/7) - 9/4)
[966018] ['1/7', '2/9', '7/2', '9/4', '9/4'] -> ((((7/2 / 1/7) / 9/4) - 2/9) * 9/4)
[966028] ['1/7', '2/9', '7/3', '7/3', '7/3'] -> ((((2/9 + 7/3) / 7/3) + 7/3) / 1/7)
[966029] ['1/7', '2/9', '7/3', '7/3', '7/4'] -> ((7/3 + 7/3) / (7/4 - (2/9 / 1/7)))
[966032] ['1/7', '2/9', '7/3', '7/3', '7/8'] -> ((7/3 / ((1/7 * 7/3) - 2/9)) / 7/8)
[966041] ['1/7', '2/9', '7/3', '7/3', '9/7'] -> (((7/3 + 7/3) / 2/9) * (9/7 - 1/7))
[966043] ['1/7', '2/9', '7/3', '7/4', '7/4'] -> ((((7/3 / 1/7) / 2/9) / 7/4) / 7/4)
