[35881] ['3/7', '3/5', '9/4', '7', '7'] -> ((7 + (3/7 / 3/5)) / (9/4 / 7))
[35882] ['4/7', '5/4', '7/4', '2', '3'] -> ((2 * 3) / (5/4 - (4/7 * 7/4)))
[35883] ['7/6', '7/5', '7/4', '2', '8'] -> ((7/5 / (7/4 - 7/6)) * (2 + 8))
[35884] ['1', '8/7', '7/4', '3', '9/2'] -> (3 * ((9/2 * (8/7 * 7/4)) - 1))
[35885] ['1/8', '1/8', '3/7', '3', '3'] -> (3 * ((1/8 / 1/8) + (3 / 3/7)))
[35886] ['5/9', '4/3', '7/4', '5', '7'] -> (((7 / 7/4) - 4/3) / (5/9 / 5))
[35887] ['5/9', '7/6', '7/5', '2', '9'] -> (9 * (2 + (7/5 * (5/9 / 7/6))))
[35888] ['3/7', '3/5', '7/3', '7', '7'] -> ((3/7 + 3/5) * (7 + (7/3 * 7)))
[35889] ['4/7', '5/7', '7/5', '2', '6'] -> (6 / (2 - (7/5 / (4/7 / 5/7))))
[35890] ['5/8', '7/6', '7/2', '4', '5'] -> (7/2 / (4 - (5/8 * (7/6 + 5))))
[35891] ['1/8', '1/8', '4/9', '3', '3'] -> ((3 / (4/9 * (1/8 + 1/8))) - 3)
[35892] ['7/6', '7/5', '2', '9/4', '8'] -> ((2 + (9/4 * 8)) / (7/6 / 7/5))
[35893] ['1/8', '1/7', '4/5', '1', '9'] -> (9 / ((1 / 4/5) - (1/8 / 1/7)))
[35894] ['2/7', '3/8', '8/5', '7', '8'] -> ((3/8 - (7 / 8/5)) + (8 / 2/7))
[35895] ['7/6', '5/4', '5/4', '6', '7'] -> (7 / ((5/4 / 6) - (7/6 - 5/4)))
[35896] ['8/9', '7/4', '7/3', '8', '9'] -> ((9 + (8 / 8/9)) / (7/4 / 7/3))
[35897] ['2/7', '3/5', '5/3', '5', '5'] -> ((5/3 - 3/5) * (5 + (5 / 2/7)))
[35898] ['7/6', '7/5', '2', '8/3', '8'] -> ((7/6 * 8/3) * (2 + (8 / 7/5)))
[35899] ['1/8', '1/7', '5/6', '1', '9'] -> ((1 / 1/7) / ((1/8 * 9) - 5/6))
[35900] ['1/8', '1/8', '4/7', '3', '3'] -> (3 + (3 / (4/7 * (1/8 + 1/8))))
[35901] ['8/9', '7/4', '5/2', '8', '9'] -> ((9 + (8 / 8/9)) / (5/2 - 7/4))
[35902] ['5/9', '8/7', '7/2', '7', '9'] -> ((9 * ((8/7 * 7/2) - 5/9)) - 7)
[35903] ['4/7', '3/4', '4/5', '2', '6'] -> ((4/5 + 2) * (4/7 + (6 / 3/4)))
[35904] ['5/8', '6/5', '7/5', '4', '5'] -> (((4 / (7/5 - 6/5)) - 5) / 5/8)
[35905] ['5/9', '7/6', '9/5', '2', '9'] -> (9/5 + (2 * (9 + (7/6 / 5/9))))
[35906] ['2/7', '3/8', '9/5', '7', '8'] -> (9/5 * (8 + (7 * (2/7 / 3/8))))
[35907] ['7/6', '8/5', '7/4', '2', '8'] -> ((7/4 / (7/6 / 8/5)) * (2 + 8))
[35908] ['1', '8/7', '9/5', '3', '9/2'] -> ((8/7 * (1 + 9/5)) * (3 + 9/2))
[35909] ['5/9', '7/5', '7/4', '5', '7'] -> ((5 - 5/9) * (7/5 + (7 / 7/4)))
[35910] ['5/9', '7/6', '2', '9/4', '9'] -> ((2 - (7/6 / 9/4)) / (5/9 / 9))
[35911] ['1/8', '1/7', '1', '9/8', '9'] -> ((1/8 + 9) + ((1 + 9/8) / 1/7))
[35912] ['7/6', '5/4', '9/5', '6', '7'] -> (9/5 * ((5/4 * 6) - (7/6 - 7)))
[35913] ['8/9', '7/4', '9/2', '8', '9'] -> ((9/2 * (8/9 * 7/4)) + (8 + 9))
[35914] ['3/7', '5/8', '5/8', '7', '7'] -> ((3/7 * 7) * (7 + (5/8 / 5/8)))
[35915] ['4/7', '3/4', '8/9', '2', '6'] -> ((3/4 + 6) * (2 + (8/9 / 4/7)))
[35916] ['5/9', '7/6', '2', '8/3', '9'] -> (9 / ((7/6 / 2) - (5/9 / 8/3)))
[35917] ['7/6', '9/7', '9/7', '6', '7'] -> (6 * (7 - (7/6 * (9/7 + 9/7))))
[35918] ['3/7', '5/8', '3/4', '7', '7'] -> (3/7 / ((3/4 / 7) - (5/8 / 7)))
[35919] ['1', '8/7', '9/4', '3', '7/2'] -> (3 * ((7/2 * (8/7 * 9/4)) - 1))
[35920] ['2/7', '3/5', '7/2', '5', '5'] -> ((7/2 + (3/5 * 5)) + (5 / 2/7))
[35921] ['4/7', '9/7', '5/3', '2', '3'] -> ((4/7 * 2) / (3 - (9/7 + 5/3)))
[35922] ['5/9', '6/5', '7/5', '2', '9'] -> ((6/5 + (9 / (5/9 / 2))) / 7/5)
[35923] ['8/9', '9/5', '7/2', '8', '9'] -> ((8/9 + 8) * (9 - (9/5 * 7/2)))
[35924] ['1/8', '1/7', '1', '9/7', '9'] -> (9 / ((1/7 / (9/7 - 1)) - 1/8))
[35925] ['2/7', '9/8', '9/8', '2', '7'] -> ((7 / 2/7) - ((9/8 / 9/8) / 2))
[35926] ['5/9', '3/2', '3/2', '5', '7'] -> ((3/2 * 7) + (5 / (5/9 / 3/2)))
[35927] ['5/9', '6/5', '8/5', '2', '9'] -> ((5/9 * 9) * (2 + (6/5 + 8/5)))
[35928] ['4/7', '9/7', '9/5', '2', '3'] -> (((3 / (2 - 9/5)) - 9/7) / 4/7)
[35929] ['2/7', '5/8', '5/8', '5', '5'] -> (((5/8 + (5 / 2/7)) / 5/8) - 5)
[35930] ['1', '8/7', '7/3', '5/2', '3'] -> ((1 + 3) / ((8/7 * 7/3) - 5/2))
[35931] ['7/6', '9/5', '2', '9/4', '8'] -> ((9/5 * 8) * (9/4 - (7/6 / 2)))
[35932] ['2/7', '9/8', '6/5', '2', '7'] -> (((7 / 2/7) - 2) / (9/8 / 6/5))
[35933] ['2/7', '2/5', '3/4', '7', '8'] -> (((8 / 2/5) - (2/7 * 7)) / 3/4)
[35934] ['5/9', '3/2', '7/4', '5', '7'] -> ((7 / (5/9 * 3/2)) / (7/4 / 5))
[35935] ['2/7', '5/8', '2/3', '5', '5'] -> ((5 + (5 / 2/7)) / (5/8 / 2/3))
[35936] ['3/7', '5/8', '6/7', '7', '7'] -> (((3/7 * 7) - 6/7) / (5/8 / 7))
[35937] ['4/7', '4/3', '4/3', '2', '3'] -> (2 / ((4/3 / 4/7) - (3 / 4/3)))
[35938] ['1/8', '1/8', '8/5', '3', '3'] -> (8/5 * (3 + (3 / (1/8 + 1/8))))
[35939] ['5/8', '9/7', '7/5', '4', '5'] -> (9/7 / (5/8 - (4 / (7/5 * 5))))
[35940] ['2/7', '5/8', '5/7', '5', '5'] -> ((((5/7 + 5) / 2/7) - 5) / 5/8)
[35941] ['7/6', '9/7', '8/3', '6', '7'] -> (6 * ((7/6 * (7 - 9/7)) - 8/3))
[35942] ['4/7', '3/4', '2', '7/3', '6'] -> (6 * ((4/7 * 7/3) + (2 / 3/4)))
[35943] ['2/7', '9/8', '7/5', '2', '7'] -> ((2/7 + 7) / ((2 / 7/5) - 9/8))
[35944] ['3/7', '5/8', '8/9', '7', '7'] -> (7 / ((3/7 * 8/9) - (5/8 / 7)))
[35945] ['1/8', '1/8', '5/3', '3', '3'] -> ((5/3 + (1/8 / 1/8)) * (3 * 3))
[35946] ['7/6', '4/3', '4/3', '6', '7'] -> (4/3 / ((4/3 / 6) - (7/6 / 7)))
[35947] ['7/6', '9/5', '2', '8/3', '8'] -> ((9/5 * 2) * ((7/6 * 8) - 8/3))
[35948] ['9/8', '9/8', '9/8', '8', '9'] -> ((9 + (8 * (9/8 + 9/8))) / 9/8)
[35949] ['2/7', '2/5', '7/8', '7', '8'] -> ((7 + 8) / (7/8 * (2/7 / 2/5)))
[35950] ['5/8', '9/7', '8/5', '4', '5'] -> ((5 / ((9/7 / 8/5) - 5/8)) - 4)
[35951] ['7/6', '4/3', '7/5', '6', '7'] -> ((7 / (7/5 * (4/3 - 7/6))) - 6)
[35952] ['1/8', '1/8', '7/3', '3', '3'] -> (3 * ((1/8 / 1/8) + (7/3 * 3)))
[35953] ['5/9', '5/4', '8/5', '2', '9'] -> (((5/9 + 5/4) * (8/5 * 9)) - 2)
[35954] ['5/9', '6/5', '5/4', '7', '9'] -> ((6/5 + ((7 + 9) / 5/9)) / 5/4)
[35955] ['9/8', '9/8', '6/5', '8', '9'] -> (9 + ((9/8 + 9/8) / (6/5 / 8)))
[35956] ['2/7', '5/8', '4/5', '5', '5'] -> ((5 / (2/7 * 5/8)) - (4/5 * 5))
[35957] ['7/6', '4/3', '9/5', '6', '7'] -> (9/5 * ((4/3 + 6) + (7 / 7/6)))
[35958] ['4/7', '4/3', '7/4', '2', '3'] -> ((2 / 4/3) / ((7/4 / 4/7) - 3))
[35959] ['3/7', '5/8', '5/4', '7', '7'] -> (7 + (7 * (3/7 + (5/4 / 5/8))))
[35960] ['5/9', '5/4', '5/3', '2', '9'] -> ((9 * (5/9 * 2)) / (5/3 - 5/4))
[35961] ['9/8', '9/8', '5/4', '8', '9'] -> ((9 / ((9/8 * 5/4) - 9/8)) - 8)
[35962] ['4/7', '7/9', '9/8', '2', '6'] -> ((6 / (4/7 * 7/9)) / (9/8 / 2))
[35963] ['1/8', '1/6', '1/5', '1', '9'] -> ((9 + (1 / 1/6)) / (1/8 / 1/5))
[35964] ['7/6', '4/3', '5/2', '6', '7'] -> (6 * ((7/6 / 7) + (4/3 + 5/2)))
[35965] ['2/7', '2/5', '7/6', '7', '8'] -> ((8 / 2/5) / ((2/7 * 7) - 7/6))
[35966] ['2/7', '5/8', '6/7', '5', '5'] -> (5 / ((2/7 / 6/7) - (5/8 / 5)))
[35967] ['3/7', '5/8', '9/7', '7', '7'] -> (9/7 / ((3/7 + 5/8) - (7 / 7)))
[35968] ['5/9', '8/5', '5/2', '5', '7'] -> ((5 + 7) / (5/9 * (5/2 - 8/5)))
[35969] ['4/7', '4/3', '2', '9/4', '3'] -> ((2 * 9/4) * (3 + (4/3 / 4/7)))
[35970] ['5/8', '9/7', '7/3', '4', '5'] -> ((9/7 + (4 / 7/3)) / (5/8 / 5))
[35971] ['1', '7/6', '7/6', '3/2', '3'] -> (1 / (7/6 - (3 / (7/6 + 3/2))))
[35972] ['1/8', '1/6', '3/7', '1', '9'] -> (9 / ((3/7 * (1/6 + 1)) - 1/8))
[35973] ['5/9', '6/5', '7/4', '7', '9'] -> ((9 * (5/9 * 6/5)) / (7/4 / 7))
[35974] ['2/7', '2/5', '4/3', '7', '8'] -> (4/3 * ((8 / 2/5) - (2/7 * 7)))
[35975] ['3/7', '5/8', '8/5', '7', '7'] -> ((3/7 * 7) * (7 + (5/8 * 8/5)))
[35976] ['1/8', '1/6', '5/9', '1', '9'] -> ((1 + 9) / (5/9 * (1/8 / 1/6)))
[35977] ['9/8', '9/8', '7/3', '8', '9'] -> ((8 / (9/8 * 7/3)) * (9 - 9/8))
[35978] ['1', '7/6', '7/6', '5/3', '3'] -> ((5/3 + 3) / (7/6 * (7/6 - 1)))
[35979] ['5/9', '9/7', '9/7', '2', '9'] -> ((9/7 / 9/7) + (9 * (5/9 + 2)))
[35980] ['9/8', '9/8', '5/2', '8', '9'] -> ((5/2 * 8) + (9 / (9/8 + 9/8)))
[35981] ['3/7', '5/8', '7/4', '7', '7'] -> (7 / ((5/8 * 7) - (7/4 / 3/7)))
[35982] ['1/8', '1/6', '4/7', '1', '9'] -> ((1 + 9) / (1/8 + (1/6 / 4/7)))
[35983] ['1', '7/6', '7/6', '7/4', '3'] -> (3 / ((1 + 7/6) - (7/6 * 7/4)))
[35984] ['2/7', '5/8', '7/6', '5', '5'] -> (5 / ((2/7 * 7/6) - (5/8 / 5)))
[35985] ['5/9', '6/5', '9/4', '7', '9'] -> ((9/4 * (5/9 * 6/5)) * (7 + 9))
[35986] ['2/7', '2/5', '5/3', '7', '8'] -> ((8 * (2/7 / 2/5)) / (5/3 / 7))
[35987] ['5/8', '9/7', '4', '9/2', '5'] -> (((9/2 * 5) / (5/8 * 9/7)) - 4)
[35988] ['4/7', '7/9', '8/5', '2', '6'] -> ((6 + (2 / 7/9)) / (4/7 / 8/5))
[35989] ['7/6', '7/5', '8/3', '6', '7'] -> ((6 - 8/3) / (7/6 / (7/5 + 7)))
[35990] ['2/7', '5/8', '6/5', '5', '5'] -> (((5 / 2/7) - 5) / (5/8 / 6/5))
[35991] ['5/9', '5/3', '9/4', '5', '7'] -> ((9/4 * (5 + 7)) - (5/3 / 5/9))
[35992] ['6/5', '9/7', '2', '9/4', '8'] -> (((9/4 * 8) / (2 - 9/7)) - 6/5)
[35993] ['2/7', '2/5', '9/5', '7', '8'] -> (8 * ((7 * (2/7 + 2/5)) - 9/5))
[35994] ['2/7', '5/8', '5/4', '5', '5'] -> ((5 / (2/7 * 5/8)) - (5 / 5/4))
[35995] ['3/7', '5/8', '9/4', '7', '7'] -> (7 / (7 - ((5/8 + 9/4) / 3/7)))
[35996] ['1', '7/6', '7/6', '8/3', '3'] -> (3 / (1 - ((7/6 + 7/6) / 8/3)))
[35997] ['6/5', '9/7', '2', '7/3', '8'] -> (((6/5 * 7/3) * (9/7 + 8)) - 2)
[35998] ['4/7', '7/9', '9/5', '2', '6'] -> (6 / ((7/9 / 4/7) - (2 / 9/5)))
[35999] ['2/7', '7/6', '6/5', '2', '7'] -> ((7/6 - (2 / 6/5)) + (7 / 2/7))
[36000] ['2/7', '5/8', '4/3', '5', '5'] -> ((5 / 5/8) / (5 - (4/3 / 2/7)))
[36001] ['1', '7/6', '7/6', '3', '7/2'] -> ((1 + 7/2) * (3 + (7/6 + 7/6)))
[36002] ['3/7', '5/8', '7/3', '7', '7'] -> (((3/7 * 7/3) + (7 + 7)) / 5/8)
[36003] ['5/9', '5/4', '9/7', '7', '9'] -> ((7 * (5/9 / 5/4)) * (9 - 9/7))
[36004] ['6/5', '9/7', '2', '8/3', '8'] -> ((9/7 * 2) * (8/3 + (8 / 6/5)))
[36005] ['2/7', '7/6', '5/4', '2', '7'] -> (7 / ((5/4 / 2) - (2/7 * 7/6)))
[36006] ['7/6', '8/5', '8/5', '6', '7'] -> (8/5 + (8/5 * (7 + (7/6 * 6))))
[36007] ['5/9', '7/4', '9/5', '5', '7'] -> ((5 + (5/9 * 9/5)) / (7/4 / 7))
[36008] ['2/7', '2/5', '8/3', '7', '8'] -> (8 / ((2/7 / 2/5) - (8/3 / 7)))
[36009] ['4/7', '7/5', '2', '9/4', '3'] -> ((4/7 + 2) / (9/4 - (3 / 7/5)))
[36010] ['4/7', '7/9', '2', '5/2', '6'] -> (6 * ((4/7 * 5/2) + (2 / 7/9)))
[36011] ['3/7', '5/8', '9/2', '7', '7'] -> ((3/7 * 7) / (9/2 - (5/8 * 7)))
[36012] ['5/9', '5/4', '3/2', '7', '9'] -> ((7 + 9) / (3/2 * (5/9 / 5/4)))
[36013] ['2/7', '2/5', '7/2', '7', '8'] -> ((2/7 + 2/5) * (7 + (7/2 * 8)))
[36014] ['4/7', '7/5', '2', '7/3', '3'] -> (2 / (3 - (7/3 / (4/7 * 7/5))))
[36015] ['1/8', '1/6', '1', '9/5', '9'] -> ((1 + 9) * (9/5 / (1/8 / 1/6)))
[36016] ['3/7', '2/3', '2/3', '7', '7'] -> ((3/7 * 7) * (7 + (2/3 / 2/3)))
[36017] ['5/9', '9/7', '9/5', '2', '9'] -> ((9/5 - 5/9) * (9/7 + (2 * 9)))
[36018] ['2/7', '5/8', '8/5', '5', '5'] -> ((8/5 * (5/8 + (5 / 2/7))) - 5)
[36019] ['4/7', '4/5', '4/5', '2', '6'] -> (6 / (2 - (4/5 / (4/7 * 4/5))))
[36020] ['3/7', '2/3', '3/4', '7', '7'] -> (3/4 * (((7 + 7) / 3/7) - 2/3))
[36021] ['2/7', '6/5', '6/5', '2', '7'] -> ((7 / 2/7) - ((6/5 / 6/5) / 2))
[36022] ['1', '7/6', '6/5', '9/5', '3'] -> ((9/5 + 3) / (6/5 * (7/6 - 1)))
[36023] ['4/7', '7/5', '2', '8/3', '3'] -> ((7/5 * 2) * (4/7 + (8/3 * 3)))
[36024] ['2/7', '5/8', '5/3', '5', '5'] -> (5 / ((5/3 / 2/7) - (5/8 + 5)))
[36025] ['2/7', '3/7', '5/9', '7', '8'] -> (8 / (7 * (2/7 - (3/7 * 5/9))))
[36026] ['1/8', '1/7', '8/9', '3', '3'] -> ((1/8 * 3) + (3 / (1/7 * 8/9)))
[36027] ['5/9', '5/4', '5/2', '7', '9'] -> ((7 + (5/9 * 9)) / (5/4 / 5/2))
[36028] ['1/8', '1/5', '1/3', '1', '9'] -> (9 + (1 / (1/8 * (1/5 + 1/3))))
[36029] ['5/9', '9/5', '9/5', '5', '7'] -> ((5/9 * (9/5 + 9/5)) * (5 + 7))
[36030] ['1', '7/6', '6/5', '8/3', '3'] -> ((8/3 * 3) / (7/6 - (1 / 6/5)))
[36031] ['7/6', '5/3', '9/2', '6', '7'] -> ((5/3 * (9/2 + 7)) - (7/6 - 6))
[36032] ['4/7', '4/5', '8/9', '2', '6'] -> ((6 / (4/5 - 4/7)) - (2 / 8/9))
[36033] ['3/7', '2/3', '8/9', '7', '7'] -> (((2/3 + 7) / 3/7) - (8/9 - 7))
[36034] ['4/7', '3/2', '8/5', '2', '3'] -> ((8/5 * 3) * (3/2 + (2 / 4/7)))
[36035] ['7/6', '7/4', '9/5', '6', '7'] -> ((7/6 / 7/4) + (7 / (9/5 / 6)))
[36036] ['2/7', '3/7', '8/9', '7', '8'] -> ((7 + (8 / 8/9)) / (2/7 / 3/7))
[36037] ['3/7', '2/3', '9/8', '7', '7'] -> (7 / (2/3 - (9/8 / (3/7 * 7))))
[36038] ['9/8', '7/6', '6/5', '8', '9'] -> (7/6 / ((9/8 / 6/5) - (8 / 9)))
[36039] ['5/9', '9/5', '5/2', '5', '7'] -> (((9/5 * 5/2) * (7 - 5/9)) - 5)
[36040] ['2/7', '6/5', '2', '7/3', '7'] -> (2 + ((2/7 + 7/3) * (6/5 * 7)))
[36041] ['2/7', '3/7', '9/8', '7', '8'] -> ((7 + (9/8 * 8)) / (2/7 / 3/7))
[36042] ['1/8', '1/7', '8/5', '3', '3'] -> (8/5 + ((3 + 3) / (1/8 + 1/7)))
[36043] ['4/7', '3/2', '7/4', '2', '3'] -> ((3 / 7/4) / ((4/7 + 3/2) - 2))
[36044] ['2/7', '5/8', '7/2', '5', '5'] -> ((7/2 * (2/7 + (5 / 5/8))) - 5)
[36045] ['3/7', '2/3', '7/6', '7', '7'] -> (7/6 * (((7 + 7) / 2/3) - 3/7))
[36046] ['5/9', '9/7', '4/3', '7', '9'] -> (((9/7 + 4/3) / (5/9 / 7)) - 9)
[36047] ['1/8', '1/5', '4/7', '1', '9'] -> (9 / (1/5 * (1/8 + (1 / 4/7))))
[36048] ['2/7', '3/7', '6/5', '7', '8'] -> (7 / ((2/7 / 6/5) + (3/7 / 8)))
